hhid	pid	service	knows_service	used_service	freq_use	daily_msg_call
1266061.0	1	8	1	2		3
1266061.0	1	9	1	2		3
1266061.0	1	10	1	2		3
1266061.0	1	11	1	1	1	3
1266061.0	1	12	1	2		3
1266022.0	1	1	1	1	1	2
1266022.0	1	2	1	2		2
1266022.0	1	3	1	1	4	2
1266022.0	1	5	1	2		2
1266022.0	1	6	1	1	8	2
1266022.0	1	7	1	2		2
1266022.0	1	8	1	2		2
1266022.0	1	10	1	2		2
1266022.0	1	11	1	1	2	2
1267018.0	5	1	1	1	2	1
1267018.0	5	2	1	1	6	1
1267018.0	5	3	1	2		1
1267018.0	5	4	1	2		1
1267018.0	5	5	1	2		1
1267018.0	5	6	1	1	2	1
1267018.0	5	8	1	2		1
1267018.0	5	9	1	2		1
1267018.0	5	10	1	2		1
1267018.0	5	11	1	2		1
1267018.0	5	12	1	2		1
1267052.0	6	1	1	1	3	2
1267052.0	6	2	1	1	5	2
1267052.0	6	3	1	1	2	2
1267034.0	3	1	1	1	1	0
1267034.0	3	3	1	1	2	0
1267034.0	3	5	1	1	4	0
1267034.0	3	6	1	1	99	0
1267034.0	3	7	1	1	99	0
1267034.0	3	8	1	2		0
1267034.0	3	10	1	2		0
1267034.0	3	11	1	2		0
1267057.0	1	1	1	1	1	0
1267057.0	1	2	1	1	1	0
1267057.0	1	3	1	1	1	0
1267057.0	1	5	1	2		0
1267057.0	1	6	1	2		0
1267057.0	1	8	1	2		0
1267057.0	1	11	1	2		0
1267028.0	4	1	1	1	1	3
1267028.0	4	2	1	1	4	3
1267028.0	4	3	1	1	2	3
1267028.0	4	6	1	1	99	3
1267028.0	4	7	1	2		3
1267028.0	4	9	1	2		3
1267028.0	4	11	1	1	99	3
1267051.0	1	1	1	1	1	1
1267051.0	1	2	1	1	2	1
1267051.0	1	3	1	1	2	1
1267051.0	1	4	1	1	2	1
1267051.0	1	5	1	1	2	1
1267051.0	1	6	1	1	99	1
1267051.0	1	7	1	1	1	1
1267051.0	1	8	1	1	1	1
1267051.0	1	11	1	1	1	1
1267005.0	2	1	1	1	1	2
1267005.0	2	2	1	2		2
1267005.0	2	3	1	1	4	2
1267005.0	2	5	1	1	1	2
1267005.0	2	8	1	1	3	2
1267005.0	2	9	1	2		2
1267005.0	2	10	1	2		2
1267005.0	2	11	1	2		2
1267005.0	2	12	1	2		2
1267003.0	1	1	1	1	1	1
1267003.0	1	2	1	1	4	1
1267003.0	1	3	1	1	2	1
1267003.0	1	5	1	1	3	1
1267003.0	1	6	1	2		1
1267003.0	1	7	1	1	5	1
1267003.0	1	10	1	1	4	1
1267003.0	1	11	1	2		1
1267003.0	1	12	1	1	4	1
1267010.0	2	1	1	1	1	5
1267010.0	2	2	1	1	6	5
1267010.0	2	3	1	2		5
1267010.0	2	4	1	2		5
1267010.0	2	5	1	2		5
1267010.0	2	6	1	1	2	5
1267010.0	2	7	1	2		5
1267010.0	2	8	1	1	4	5
1267010.0	2	11	1	1	3	5
1267069.0	1	1	1	1	1	1
1267069.0	1	2	1	1	4	1
1267069.0	1	3	1	1	2	1
1267069.0	1	5	1	2		1
1267069.0	1	6	1	1	2	1
1267069.0	1	8	1	1	1	1
1267069.0	1	9	1	2		1
1267069.0	1	10	1	2		1
1267069.0	1	11	1	1	2	1
1267069.0	1	12	1	2		1
1269019.0	1	1	1	1	1	1
1269019.0	1	2	1	1	4	1
1269019.0	1	3	1	1	7	1
1269019.0	1	5	1	1	7	1
1269019.0	1	6	1	1	3	1
1269019.0	1	7	1	1	7	1
1269019.0	1	8	1	2		1
1269019.0	1	10	1	1	7	1
1269019.0	1	11	1	1	1	1
1269064.0	1	1	1	1	1	5
1269064.0	1	2	1	1	5	5
1269064.0	1	3	1	1	3	5
1269064.0	1	4	1	2		5
1269064.0	1	5	1	2		5
1269064.0	1	6	1	1	8	5
1269064.0	1	7	1	2		5
1269064.0	1	8	1	2		5
1269064.0	1	10	1	2		5
1269064.0	1	11	1	1	8	5
1269037.0	1	1	1	1	2	1
1269037.0	1	2	1	1	2	1
1269037.0	1	3	1	1	2	1
1269037.0	1	5	1	2		1
1269037.0	1	6	1	2		1
1269037.0	1	7	1	2		1
1269037.0	1	11	1	2		1
1269028.0	2	1	1	1	3	0
1269028.0	2	2	1	1	8	0
1269028.0	2	3	1	1	6	0
1269028.0	2	5	1	1	8	0
1269028.0	2	6	1	1	1	0
1269028.0	2	7	1	2		0
1269028.0	2	8	1	2		0
1269028.0	2	9	1	2		0
1269028.0	2	10	1	2		0
1269028.0	2	11	1	1	8	0
1269082.0	1	1	1	1	1	1
1269082.0	1	2	1	2		1
1269082.0	1	3	1	1	2	1
1269082.0	1	5	1	1	8	1
1269082.0	1	6	1	1	8	1
1269082.0	1	8	1	2		1
1269082.0	1	10	1	2		1
1269082.0	1	11	1	1	1	1
1269010.0	1	1	1	1	1	5
1269010.0	1	2	1	2		5
1269010.0	1	3	1	1	3	5
1269010.0	1	5	1	2		5
1269010.0	1	6	1	2		5
1269010.0	1	10	1	2		5
1269010.0	1	11	1	1	1	5
1269010.0	1	12	1	1	7	5
1269001.0	1	1	1	1	1	1
1269001.0	1	2	1	1	4	1
1269001.0	1	3	1	1	2	1
1269001.0	1	4	1	1	1	1
1269001.0	1	6	1	1	1	1
1269073.0	2	1	1	1	1	2
1269073.0	2	3	1	1	3	2
1269073.0	2	5	1	1	8	2
1269073.0	2	6	1	1	2	2
1269073.0	2	11	1	1	2	2
1269055.0	2	1	1	1	1	2
1269055.0	2	2	1	2		2
1269055.0	2	3	1	1	2	2
1269055.0	2	5	1	2		2
1269055.0	2	6	1	1	1	2
1269055.0	2	8	1	2		2
1269055.0	2	11	1	1	1	2
1270025.0	2	1	1	2		0
1270025.0	2	2	1	2		0
1270025.0	2	3	1	2		0
1270025.0	2	4	1	2		0
1270025.0	2	5	1	2		0
1270025.0	2	6	1	1	4	0
1270025.0	2	7	1	2		0
1270025.0	2	8	1	2		0
1270025.0	2	9	1	2		0
1270025.0	2	10	1	2		0
1270025.0	2	11	1	2		0
1270025.0	2	12	1	2		0
1270104.0	1	1	1	2		2
1270104.0	1	2	1	1	4	2
1270104.0	1	3	1	2		2
1270104.0	1	11	1	2		2
1270041.0	2	1	1	2		3
1270041.0	2	2	1	2		3
1270041.0	2	11	1	2		3
1270021.0	1	1	1	1	1	1
1270021.0	1	2	1	2		1
