hhid	size	head_age	head_gender	head_marital	head_education	m0_5	f0_5	m6_16	f6_16	m17_39	f17_39	m40	f40	ml5	fl5	ml16	fl16	ml39	fl39	ml40	fl40
112118.0	1	27	1	3	13	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
113001.0	1	58	1	3	21	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
113002.0	3	38	1	3	13	0	0	0	0	0	0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.6666667	0.33333334
113019.0	1	38	1	3	8	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
113028.0	1	68	1	3	8	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
113036.0	2	59	1	5	8	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5
113045.0	2	23	1	3	13	0	0	0	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0
113054.0	2	67	2	6	0	0	0	0	0	1	1	0	0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0
113062.0	1	79	1	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
113071.0	1	38	1	3	13	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
113079.0	1	47	1	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
137009.0	1	44	1	3	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
137018.0	2	42	1	6	0	0	0	0	0	1	1	0	0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0
137027.0	1	59	1	3	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
137036.0	1	52	1	3	10	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
137045.0	1	62	1	3	11	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
137054.0	2	25	1	3	9	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
137062.0	3	24	1	3	0	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
137071.0	2	44	1	3	9	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
137080.0	1	34	2	4	11	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
137089.0	2	56	1	3	13	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5
138009.0	4	50	1	3	13	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
138021.0	3	34	2	3	13	0	0	0	0	0	0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.6666667	0.33333334
138032.0	3	34	1	3	13	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
138044.0	3	37	1	3	13	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
138056.0	2	40	1	3	13	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
138068.0	1	73	1	3	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
138080.0	1	45	2	3	13	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
138091.0	1	30	2	3	8	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
138103.0	1	26	1	3	8	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
138107.0	4	30	1	3	13	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
139010.0	1	60	1	3	13	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
139016.0	1	59	1	3	17	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
139023.0	1	70	1	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139030.0	4	41	1	3	21	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
139033.0	4	61	1	3	0	0	0	0	0	2	1	0	1	0.0	0.0	0.0	0.0	0.5	0.25	0.0	0.25
139043.0	2	44	1	3	8	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
139044.0	1	45	2	6	12	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
139050.0	1					0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139057.0	2	60	2	1	13	0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5
139060.0	1	50	2	6	8	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
140002.0	3	35	1	3	11	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
140011.0	4	39	1	3	13	0	0	0	0	1	0	1	2	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.5
140017.0	1	37	1	3	9	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
140030.0	4	49	2	5	0	0	0	0	0	1	2	1	0	0.0	0.0	0.0	0.0	0.25	0.5	0.25	0.0
140033.0	4	36	1	3	9	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
140036.0	4	29	1	3	8	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
140042.0	4	34	1	3	13	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
140044.0	4	25	1	3	0	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
140049.0	2	45	1	3	8	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
140055.0	1	45	1	3	13	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
141009.0	1	50	1	3	13	0	0	1	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
141021.0	2	50	1	3	8	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
141033.0	1	88	2	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
141045.0	2	67	2	3	8	0	0	0	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0
141069.0	4	39	1	3	20	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
141081.0	5	66	1	3	11	0	0	0	0	1	4	0	0	0.0	0.0	0.0	0.0	0.2	0.8	0.0	0.0
141087.0	2	48	1	3	13	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
141093.0	2	50	1	3	13	0	0	1	0	0	1	0	0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0
141105.0	1	28	2	6	22	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
141118.0	1	35	1	3	13	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
146009.0	1	65	1	3	13	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
146012.0	4	46	1	3	12	0	0	0	0	0	0	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.25
146016.0	1	49	2	5	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
146027.0	2	40	1	3	0	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
146037.0	1	80	2	6	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
146055.0	1	81	1	3	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
146064.0	2	37	1	3	13	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
146073.0	1	68	1	3	8	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
146079.0	3	58	1	3	9	0	0	0	0	0	0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.6666667	0.33333334
146083.0	1	57	1	3	13	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
147009.0	2	43	1	3	13	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
147013.0	1	56	2	6	9	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
147020.0	1	27	2	6	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
147021.0	3	38	1	6	8	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
147030.0	3	45	1	3	0	0	0	0	0	0	1	1	1	0.0	0.0	0.0	0.0	0.0	0.33333334	0.33333334	0.33333334
147040.0	2	54	2	6	13	0	0	0	0	2	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
147046.0	4	31	1	3	9	0	0	0	0	0	1	2	1	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.25
147051.0	4	28	1	3	13	0	0	0	0	1	0	1	2	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.5
147053.0	4	38	1	3	21	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
147066.0	3	38	1	3	13	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
202004.0	1	54	1	3	13	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
202016.0	7	33	1	3	8	0	0	0	3	1	1	1	1	0.0	0.0	0.0	0.42857143	0.14285715	0.14285715	0.14285715	0.14285715
202028.0	2	38	1	3	0	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
202041.0	1	56	1	3	21	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
202053.0	3	38	1	3	9	0	0	1	0	0	0	2	0	0.0	0.0	0.33333334	0.0	0.0	0.0	0.6666667	0.0
202063.0	4	41	1	3	8	0	0	0	0	0	0	1	3	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.75
