hhid	pid	sim_id	mobile_sim_ownership	mobile_sim_access	nb_handsets	network	contract	airtime_expt	calls_per_day	coverage	first_usage_m	first_usage_y	reason_multiple1	reason_multiple2	reason_multiple_other	reason_separate	reason_separate_other
1295002.0	2	1	1		1	1	2	200	1	4	2	2002					
1295049.0	1	1	1		3	1	2	4000	10	2	3	2002	2	3		6	99
1295049.0	1	2	1		3	2	2	400	2	1	3	2002	2	3		6	99
1295049.0	1	3	1		3	1	2	9999999	999	2	3	2002	2	3		6	99
1295066.0	2	1	1		1	1	2	1500	2	1	4	2003					
1295012.0	2	1	1		1	1	2	500	3	1	99	2001					
1295003.0	1	1	1		2	1	2	800	5	1	99	2007					
1296026.0	1	1	1		1	1	2	500	5	1	99	2003	1				
1296026.0	1	2	1		1	2	2	200	2	1	99	2003	1				
1296062.0	1	1	1		1	1	2	400	5	1	2	2006	1	5			
1296062.0	1	2	1		1	1	2	500	4	1	2	2006	1	5			
1296062.0	1	3	1		1	2	2	200	2	1	2	2006	1	5			
1296080.0	1	1	1		1	1	2	100	1	1	1	2005					
1296089.0	2	1	1		1	1	1	2000	5	1	10	2006					
1296008.0	2	1	1		1	1	2	1000	5	1	11	2005					
1296082.0	1	1	1		1	1	1	1200	6	1	99	2007					
1296071.0	1	1	1		1	1	2	500	5	1	2	2005	1				
1296071.0	1	2	1		1	2	2	200	2	1	2	2005	1				
1296053.0	1	1	1		1	1	1	9999999	999	1	99	2002	5				
1296053.0	1	2	1		1	1	1	9999999	999	1	99	2002	5				
1297080.0	1	1	1		1	1	2	2000	999	1	2	2002					
1297116.0	2	1	2	1		1	2	200	1	1	6	2006					
1297008.0	2	1	1		1	1	2	250	3	1	11	2006					
1297104.0	1	1	1		1	1	2	500	3	1	10	2005					
1297013.0	2	1	1		1	1	2	500	1	1	6	2003					
1297032.0	1	1	1		1	1	2	1000	3	1	5	2003					
1297092.0	1	1	1		1	1	2	500	2	2	99	2004	6				
1297092.0	1	2	1		1	1	2	300	1	2	99	2004	6				
1297110.0	1	1	1		1	1	2	500	4	4	99	2004					
1297068.0	1	1	1		1	1	2	700	2	2	9	2007					
1298024.0	1	1	2	1		1	2	300	3	1	5	2001					
1298117.0	2	1	1		1	1	2	1000	2	1	8	2007					
1298084.0	1	1	1		1	1	2	1500	4	1	8	9999					
1298010.0	2	1	2	1		1	2	1500	5	1	99	2006					
1298091.0	1	1	1		1	1	2	200	4	2	3	2007					
1298104.0	1	1	1		1	1	2	800	2	2	8	2006					
1298037.0	1	1	1		1	1	2	200	1	1	99	2001					
1298064.0	2	1	1		1	1	2	300	2	2	12	2006					
1298077.0	2	1	2	1		1	2	200	1	1	99	2006					
1298054.0	1	1	1		1	1	2	500	3	2	99	2002					
1299020.0	1	1	1		1	1	2	1600	4	1	4	2006	1	4			
1299020.0	1	2	1		1	2	2	700	2	1	4	2006	1	4			
1299048.0	2	1	1		1	1	1	500	2	1	99	2006					
1299034.0	1	1	1		2	2	2	200	7	1	6	2003					
1299119.0	1	1	1		2	1	2	7500	20	1	99	1994	4				
1299119.0	1	2	1		2	1	2	1500	3	1	99	1994	4				
1299091.0	1	1	1		2	1	2	150	1	1	99	2002	3				
1299091.0	1	2	1		2	1	2	200	2	1	99	2002	3				
1299105.0	2	1	1		1	1	1	800	2	1	99	2004					
